@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute incident_severity {'Major Damage','Minor Damage','Total Loss','Trivial Damage'}
@attribute insured_hobbies {sleeping,reading,board-games,bungie-jumping,base-jumping,golf,camping,dancing,skydiving,movies,hiking,yachting,paintball,chess,kayaking,polo,basketball,video-games,cross-fit,exercise}
@attribute auto_model {92x,E400,RAM,Tahoe,RSX,95,Pathfinder,A5,Camry,F150,A3,Highlander,Neon,MDX,Maxima,Legacy,TL,Impreza,Forrestor,Escape,Corolla,'3 Series',C300,Wrangler,M5,X5,Civic,Passat,Silverado,CRV,93,Accord,X6,Malibu,Fusion,Jetta,ML350,Ultima,'Grand Cherokee'}
@attribute vehicle_claim numeric
@attribute total_claim_amount numeric
@attribute incident_type {'Single Vehicle Collision','Vehicle Theft','Multi-vehicle Collision','Parked Car'}
@attribute authorities_contacted {Police,None,Fire,Other,Ambulance}
@attribute property_claim numeric
@attribute injury_claim numeric
@attribute insured_occupation {craft-repair,machine-op-inspct,sales,armed-forces,tech-support,prof-specialty,other-service,priv-house-serv,exec-managerial,protective-serv,transport-moving,handlers-cleaners,adm-clerical,farming-fishing}
@attribute fraud_reported {Y,N}

@data
'Major Damage',board-games,RAM,44870,64100,'Multi-vehicle Collision',Other,6410,12820,armed-forces,Y
'Minor Damage',camping,Tahoe,53520,80280,'Single Vehicle Collision',Other,13380,13380,prof-specialty,N
'Trivial Damage',hiking,MDX,4160,4680,'Vehicle Theft',Police,0,520,machine-op-inspct,N
'Minor Damage',base-jumping,MDX,26480,39720,'Multi-vehicle Collision',Ambulance,6620,6620,tech-support,N
'Major Damage',exercise,ML350,52020,63580,'Single Vehicle Collision',Police,5780,5780,exec-managerial,Y
'Minor Damage',camping,95,53360,73370,'Single Vehicle Collision',Other,6670,13340,craft-repair,N
'Minor Damage',paintball,CRV,55230,86790,'Single Vehicle Collision',Police,23670,7890,craft-repair,N
'Major Damage',sleeping,ML350,34860,49800,'Single Vehicle Collision',Police,4980,9960,tech-support,N
'Major Damage',exercise,Ultima,56320,77440,'Single Vehicle Collision',Other,14080,7040,armed-forces,N
'Total Loss',board-games,TL,34320,42900,'Single Vehicle Collision',Other,0,8580,handlers-cleaners,N
'Major Damage',skydiving,F150,35880,53820,'Multi-vehicle Collision',Fire,5980,11960,farming-fishing,Y
'Minor Damage',reading,'Grand Cherokee',38220,57330,'Single Vehicle Collision',Police,6370,12740,sales,N
'Minor Damage',paintball,Ultima,41510,53370,'Multi-vehicle Collision',Police,5930,5930,tech-support,N
'Minor Damage',yachting,MDX,38720,62920,'Single Vehicle Collision',Police,14520,9680,prof-specialty,N
'Total Loss',board-games,CRV,43120,61600,'Multi-vehicle Collision',Fire,12320,6160,machine-op-inspct,N
'Total Loss',golf,E400,55620,74160,'Multi-vehicle Collision',Police,12360,6180,sales,N
'Total Loss',reading,A3,62300,80100,'Single Vehicle Collision',Police,8900,8900,priv-house-serv,N
'Trivial Damage',paintball,Jetta,4920,6560,'Parked Car',Police,820,820,sales,N
'Total Loss',hiking,Pathfinder,41160,58800,'Single Vehicle Collision',Ambulance,5880,11760,other-service,N
'Minor Damage',chess,RAM,35820,53730,'Multi-vehicle Collision',Ambulance,5970,11940,transport-moving,Y
'Total Loss',cross-fit,Civic,45450,60600,'Single Vehicle Collision',Ambulance,10100,5050,other-service,N
'Total Loss',movies,E400,26000,35750,'Single Vehicle Collision',Other,3250,6500,tech-support,N
'Total Loss',exercise,Silverado,32130,42840,'Single Vehicle Collision',Ambulance,7140,3570,adm-clerical,N
'Major Damage',hiking,Wrangler,58640,87960,'Multi-vehicle Collision',Fire,14660,14660,armed-forces,Y
'Minor Damage',camping,'Grand Cherokee',38240,47800,'Multi-vehicle Collision',Ambulance,4780,4780,protective-serv,N
'Trivial Damage',exercise,Tahoe,2560,3840,'Vehicle Theft',Police,640,640,tech-support,N
'Total Loss',hiking,RSX,56000,77000,'Single Vehicle Collision',Fire,7000,14000,transport-moving,N
'Total Loss',skydiving,A5,56070,88110,'Single Vehicle Collision',Ambulance,16020,16020,farming-fishing,N
'Minor Damage',hiking,Civic,39060,47740,'Multi-vehicle Collision',Fire,4340,4340,farming-fishing,N
'Total Loss',video-games,F150,42880,58960,'Multi-vehicle Collision',Fire,10720,5360,craft-repair,N
'Minor Damage',skydiving,Corolla,1440,2160,'Parked Car',Police,240,480,tech-support,N
'Trivial Damage',exercise,'Grand Cherokee',5300,6890,'Vehicle Theft',Police,1060,530,prof-specialty,N
'Major Damage',kayaking,Legacy,57360,78870,'Multi-vehicle Collision',Ambulance,14340,7170,prof-specialty,N
'Trivial Damage',basketball,F150,2100,2700,'Vehicle Theft',Police,300,300,sales,N
'Total Loss',kayaking,'Grand Cherokee',63300,75960,'Single Vehicle Collision',Ambulance,6330,6330,machine-op-inspct,N
'Major Damage',video-games,X5,54960,75570,'Single Vehicle Collision',Police,13740,6870,sales,Y
'Minor Damage',exercise,Malibu,60160,90240,'Single Vehicle Collision',Police,15040,15040,sales,N
'Major Damage',dancing,MDX,58880,80960,'Single Vehicle Collision',Ambulance,7360,14720,prof-specialty,N
'Total Loss',skydiving,C300,59310,79080,'Multi-vehicle Collision',Other,13180,6590,craft-repair,N
'Minor Damage',paintball,ML350,4960,6820,'Vehicle Theft',None,620,1240,adm-clerical,N
'Total Loss',sleeping,Pathfinder,45520,62590,'Multi-vehicle Collision',Fire,11380,5690,armed-forces,N
'Major Damage',dancing,MDX,39300,52400,'Single Vehicle Collision',Other,6550,6550,sales,Y
'Major Damage',basketball,Jetta,46240,63580,'Multi-vehicle Collision',Ambulance,11560,5780,tech-support,N
'Minor Damage',reading,Ultima,49120,61400,'Multi-vehicle Collision',Police,6140,6140,priv-house-serv,N
'Minor Damage',paintball,Neon,3290,4700,'Parked Car',None,470,940,adm-clerical,Y
'Total Loss',hiking,X5,47180,74140,'Single Vehicle Collision',Fire,13480,13480,prof-specialty,N
'Major Damage',reading,Jetta,62370,83160,'Single Vehicle Collision',Other,13860,6930,other-service,N
'Trivial Damage',paintball,E400,8300,10790,'Parked Car',Police,830,1660,farming-fishing,N
'Major Damage',paintball,92x,30590,48070,'Multi-vehicle Collision',Police,8740,8740,prof-specialty,N
'Minor Damage',golf,Impreza,34020,51030,'Multi-vehicle Collision',Ambulance,11340,5670,protective-serv,N
'Minor Damage',yachting,Civic,37870,43280,'Single Vehicle Collision',Fire,5410,0,prof-specialty,Y
'Major Damage',paintball,Forrestor,53480,76400,'Single Vehicle Collision',Fire,7640,15280,sales,N
'Total Loss',board-games,A5,48020,75460,'Single Vehicle Collision',Ambulance,13720,13720,prof-specialty,N
'Major Damage',polo,F150,48300,69000,'Multi-vehicle Collision',Other,6900,13800,armed-forces,Y
'Minor Damage',golf,TL,6480,8640,'Vehicle Theft',Police,720,1440,tech-support,N
'Minor Damage',dancing,X6,42770,67210,'Multi-vehicle Collision',Ambulance,12220,12220,armed-forces,N
'Total Loss',basketball,Jetta,34000,42500,'Multi-vehicle Collision',Ambulance,4250,4250,transport-moving,N
'Minor Damage',basketball,RSX,64800,86400,'Single Vehicle Collision',Fire,7200,14400,armed-forces,N
'Minor Damage',chess,RAM,2940,4620,'Vehicle Theft',Police,840,840,handlers-cleaners,Y
'Trivial Damage',camping,CRV,5040,6930,'Parked Car',Police,1260,630,tech-support,N
'Minor Damage',hiking,95,25020,41700,'Multi-vehicle Collision',Other,8340,8340,sales,N
'Major Damage',board-games,Jetta,49210,77330,'Single Vehicle Collision',Other,14060,14060,transport-moving,Y
'Trivial Damage',sleeping,F150,3600,4950,'Vehicle Theft',Police,450,900,other-service,N
'Minor Damage',polo,TL,3440,5160,'Vehicle Theft',Police,860,860,craft-repair,N
'Total Loss',yachting,95,19110,24570,'Multi-vehicle Collision',Fire,2730,2730,exec-managerial,Y
'Minor Damage',movies,Camry,39040,53680,'Multi-vehicle Collision',Ambulance,9760,4880,craft-repair,N
'Total Loss',bungie-jumping,Malibu,35100,42900,'Multi-vehicle Collision',Police,3900,3900,farming-fishing,N
'Minor Damage',chess,Escape,58870,84100,'Single Vehicle Collision',Fire,8410,16820,protective-serv,Y
'Total Loss',dancing,Fusion,47880,61560,'Single Vehicle Collision',Fire,6840,6840,adm-clerical,N
'Minor Damage',hiking,RAM,33180,44240,'Single Vehicle Collision',Police,5530,5530,other-service,N
'Minor Damage',hiking,'Grand Cherokee',40390,57700,'Multi-vehicle Collision',Ambulance,5770,11540,protective-serv,N
'Minor Damage',exercise,92x,74790,108030,'Single Vehicle Collision',Other,16620,16620,exec-managerial,N
'Minor Damage',dancing,Highlander,38010,54300,'Single Vehicle Collision',Fire,5430,10860,exec-managerial,N
'Major Damage',movies,Fusion,21520,32280,'Multi-vehicle Collision',Ambulance,5380,5380,craft-repair,Y
'Total Loss',camping,Malibu,59220,84600,'Multi-vehicle Collision',Other,8460,16920,machine-op-inspct,N
'Total Loss',camping,'3 Series',55760,69700,'Single Vehicle Collision',Other,6970,6970,craft-repair,N
'Total Loss',movies,Jetta,25480,36400,'Multi-vehicle Collision',Ambulance,7280,3640,prof-specialty,N
'Minor Damage',paintball,Wrangler,28140,37520,'Multi-vehicle Collision',Police,4690,4690,adm-clerical,N
'Major Damage',paintball,RAM,50330,79090,'Multi-vehicle Collision',Ambulance,14380,14380,other-service,N
'Major Damage',board-games,ML350,45180,67770,'Single Vehicle Collision',Other,15060,7530,farming-fishing,Y
'Total Loss',chess,Silverado,33180,47400,'Single Vehicle Collision',Other,4740,9480,tech-support,Y
'Total Loss',skydiving,A3,49770,71100,'Single Vehicle Collision',Other,14220,7110,other-service,N
'Minor Damage',dancing,M5,48580,69400,'Single Vehicle Collision',Police,6940,13880,other-service,N
'Major Damage',board-games,93,40000,55000,'Multi-vehicle Collision',Other,10000,5000,transport-moving,Y
'Total Loss',polo,Highlander,35370,51090,'Multi-vehicle Collision',Police,7860,7860,machine-op-inspct,N
'Major Damage',camping,Civic,38520,64200,'Single Vehicle Collision',Fire,19260,6420,machine-op-inspct,Y
'Total Loss',base-jumping,Fusion,42840,67320,'Single Vehicle Collision',Other,12240,12240,sales,N
'Major Damage',movies,A5,55360,76120,'Multi-vehicle Collision',Other,13840,6920,protective-serv,N
'Minor Damage',movies,Fusion,58860,85020,'Multi-vehicle Collision',Ambulance,13080,13080,farming-fishing,N
'Minor Damage',polo,Corolla,43330,68090,'Multi-vehicle Collision',Fire,12380,12380,protective-serv,N
'Trivial Damage',exercise,Pathfinder,4690,6030,'Parked Car',Police,670,670,priv-house-serv,N
'Minor Damage',yachting,Malibu,3570,5100,'Vehicle Theft',None,510,1020,machine-op-inspct,N
'Trivial Damage',yachting,Jetta,3570,4590,'Vehicle Theft',Police,510,510,sales,N
'Major Damage',yachting,Tahoe,50680,72400,'Multi-vehicle Collision',Other,14480,7240,exec-managerial,Y
'Major Damage',skydiving,ML350,49630,70900,'Single Vehicle Collision',Fire,7090,14180,other-service,N
'Total Loss',hiking,93,52080,65100,'Multi-vehicle Collision',Other,6510,6510,priv-house-serv,N
'Total Loss',chess,Escape,49980,64260,'Multi-vehicle Collision',Ambulance,14280,0,handlers-cleaners,N
'Major Damage',yachting,CRV,50890,79970,'Single Vehicle Collision',Ambulance,21810,7270,armed-forces,Y
'Total Loss',bungie-jumping,Tahoe,44030,56610,'Single Vehicle Collision',Police,6290,6290,machine-op-inspct,N
'Major Damage',polo,Highlander,69210,84590,'Single Vehicle Collision',Fire,7690,7690,craft-repair,Y
'Major Damage',sleeping,ML350,44520,66780,'Multi-vehicle Collision',Fire,14840,7420,sales,N
'Major Damage',exercise,Escape,52000,58500,'Single Vehicle Collision',Police,6500,0,farming-fishing,N
'Trivial Damage',golf,RAM,4000,5000,'Parked Car',Police,500,500,prof-specialty,N
'Trivial Damage',chess,E400,3500,5000,'Parked Car',Police,1000,500,priv-house-serv,Y
'Major Damage',camping,92x,36300,54450,'Multi-vehicle Collision',Ambulance,12100,6050,sales,N
'Major Damage',bungie-jumping,93,48160,61920,'Multi-vehicle Collision',Police,6880,6880,handlers-cleaners,N
'Minor Damage',cross-fit,Pathfinder,34960,43700,'Single Vehicle Collision',Ambulance,4370,4370,exec-managerial,Y
'Minor Damage',bungie-jumping,Escape,49840,64080,'Single Vehicle Collision',Other,7120,7120,machine-op-inspct,N
'Total Loss',chess,Jetta,35000,55000,'Single Vehicle Collision',Other,10000,10000,sales,Y
'Trivial Damage',video-games,Camry,3850,4400,'Vehicle Theft',Police,550,0,adm-clerical,N
'Minor Damage',movies,Highlander,53730,71640,'Multi-vehicle Collision',Police,11940,5970,armed-forces,N
'Minor Damage',reading,MDX,48020,61740,'Single Vehicle Collision',Other,6860,6860,machine-op-inspct,N
'Total Loss',golf,A3,46000,57500,'Single Vehicle Collision',Ambulance,5750,5750,priv-house-serv,N
'Minor Damage',reading,RSX,6090,8700,'Parked Car',Police,1740,870,exec-managerial,N
'Total Loss',polo,Jetta,53970,77100,'Multi-vehicle Collision',Police,7710,15420,adm-clerical,N
'Minor Damage',dancing,Neon,46200,59400,'Single Vehicle Collision',Police,6600,6600,priv-house-serv,N
'Minor Damage',kayaking,Corolla,39920,54890,'Multi-vehicle Collision',Fire,4990,9980,machine-op-inspct,N
'Minor Damage',kayaking,Tahoe,53840,74030,'Multi-vehicle Collision',Other,13460,6730,exec-managerial,N
'Total Loss',chess,X5,39130,61490,'Single Vehicle Collision',Other,11180,11180,adm-clerical,N
'Minor Damage',board-games,Passat,59670,79560,'Multi-vehicle Collision',Police,13260,6630,handlers-cleaners,N
'Minor Damage',yachting,Camry,3920,4900,'Parked Car',Police,490,490,sales,N
'Total Loss',paintball,Pathfinder,49490,77770,'Multi-vehicle Collision',Other,14140,14140,tech-support,N
'Major Damage',board-games,Maxima,52290,74700,'Multi-vehicle Collision',Fire,14940,7470,transport-moving,Y
'Minor Damage',sleeping,Passat,32480,40600,'Multi-vehicle Collision',Police,4060,4060,tech-support,N
'Total Loss',video-games,Wrangler,25150,45270,'Single Vehicle Collision',Ambulance,10060,10060,farming-fishing,N
'Minor Damage',kayaking,93,34240,47080,'Multi-vehicle Collision',Ambulance,8560,4280,machine-op-inspct,N
'Minor Damage',chess,Passat,32560,40700,'Single Vehicle Collision',Police,4070,4070,machine-op-inspct,Y
'Minor Damage',polo,F150,25200,34650,'Single Vehicle Collision',Police,3150,6300,transport-moving,N
'Trivial Damage',camping,'Grand Cherokee',2400,3200,'Parked Car',Police,400,400,protective-serv,N
'Major Damage',yachting,92x,57440,78980,'Single Vehicle Collision',Fire,14360,7180,machine-op-inspct,Y
'Minor Damage',reading,Ultima,4480,6160,'Parked Car',None,1120,560,sales,N
'Major Damage',hiking,E400,62000,85250,'Single Vehicle Collision',Ambulance,7750,15500,machine-op-inspct,N
'Major Damage',camping,Neon,54630,72840,'Multi-vehicle Collision',Fire,6070,12140,sales,N
'Trivial Damage',base-jumping,Camry,3850,6050,'Parked Car',Police,1100,1100,exec-managerial,N
'Major Damage',hiking,X6,63920,87890,'Single Vehicle Collision',Fire,7990,15980,protective-serv,Y
'Total Loss',chess,F150,44000,60500,'Multi-vehicle Collision',Other,5500,11000,craft-repair,Y
'Minor Damage',kayaking,Malibu,56140,88220,'Multi-vehicle Collision',Fire,16040,16040,machine-op-inspct,N
'Total Loss',video-games,MDX,39040,53680,'Multi-vehicle Collision',Other,4880,9760,prof-specialty,N
'Minor Damage',golf,MDX,43040,53800,'Single Vehicle Collision',Fire,5380,5380,transport-moving,N
'Major Damage',dancing,E400,40770,54360,'Single Vehicle Collision',Police,9060,4530,craft-repair,Y
'Major Damage',bungie-jumping,Camry,39520,54340,'Single Vehicle Collision',Police,4940,9880,handlers-cleaners,N
'Trivial Damage',chess,Tahoe,2080,2860,'Parked Car',None,260,520,craft-repair,Y
'Minor Damage',polo,95,4270,5490,'Vehicle Theft',Police,1220,0,craft-repair,N
'Trivial Damage',dancing,Impreza,5360,7370,'Vehicle Theft',Police,1340,670,craft-repair,N
'Major Damage',chess,A3,40640,50800,'Multi-vehicle Collision',Ambulance,5080,5080,priv-house-serv,Y
'Minor Damage',video-games,Ultima,31140,41520,'Multi-vehicle Collision',Fire,5190,5190,adm-clerical,N
'Total Loss',movies,RAM,65200,89650,'Single Vehicle Collision',Police,16300,8150,armed-forces,N
'Total Loss',base-jumping,Legacy,39690,39690,'Multi-vehicle Collision',Police,0,0,other-service,N
'Major Damage',golf,92x,50940,62260,'Single Vehicle Collision',Ambulance,5660,5660,exec-managerial,N
'Major Damage',paintball,A3,37760,51920,'Single Vehicle Collision',Police,4720,9440,prof-specialty,Y
'Minor Damage',bungie-jumping,Jetta,38880,53460,'Single Vehicle Collision',Other,4860,9720,armed-forces,N
'Total Loss',golf,CRV,45680,57100,'Multi-vehicle Collision',Fire,5710,5710,adm-clerical,N
'Total Loss',yachting,Neon,56320,77440,'Multi-vehicle Collision',Ambulance,7040,14080,exec-managerial,N
'Minor Damage',bungie-jumping,Forrestor,47810,68300,'Single Vehicle Collision',Ambulance,13660,6830,craft-repair,N
'Trivial Damage',base-jumping,CRV,3680,5060,'Parked Car',None,920,460,other-service,N
'Total Loss',chess,RAM,39600,59400,'Multi-vehicle Collision',Ambulance,13200,6600,tech-support,Y
'Major Damage',cross-fit,Escape,54390,69930,'Multi-vehicle Collision',Ambulance,15540,0,transport-moving,Y
'Minor Damage',board-games,Wrangler,54390,77700,'Multi-vehicle Collision',Police,15540,7770,handlers-cleaners,N
'Major Damage',yachting,A5,43750,68750,'Multi-vehicle Collision',Other,12500,12500,prof-specialty,Y
'Minor Damage',movies,Wrangler,57960,91080,'Multi-vehicle Collision',Police,16560,16560,adm-clerical,N
'Minor Damage',golf,A5,36270,48360,'Single Vehicle Collision',Other,8060,4030,craft-repair,N
'Major Damage',kayaking,F150,76000,95000,'Single Vehicle Collision',Other,9500,9500,handlers-cleaners,N
'Trivial Damage',yachting,F150,2730,3900,'Vehicle Theft',Police,390,780,machine-op-inspct,N
'Minor Damage',cross-fit,'Grand Cherokee',41580,59400,'Multi-vehicle Collision',Other,5940,11880,transport-moving,Y
'Minor Damage',camping,Maxima,46830,60210,'Single Vehicle Collision',Fire,6690,6690,machine-op-inspct,N
'Minor Damage',video-games,Legacy,30520,43600,'Single Vehicle Collision',Ambulance,4360,8720,sales,N
'Total Loss',sleeping,Wrangler,43960,62800,'Multi-vehicle Collision',Police,12560,6280,adm-clerical,N
'Major Damage',skydiving,Neon,41650,59500,'Single Vehicle Collision',Ambulance,5950,11900,farming-fishing,N
'Total Loss',skydiving,CRV,41580,53460,'Multi-vehicle Collision',Police,5940,5940,armed-forces,N
'Total Loss',reading,95,26530,41690,'Multi-vehicle Collision',Ambulance,7580,7580,adm-clerical,N
'Minor Damage',paintball,TL,44170,63100,'Single Vehicle Collision',Ambulance,12620,6310,prof-specialty,N
'Total Loss',chess,E400,47160,62880,'Single Vehicle Collision',Ambulance,10480,5240,priv-house-serv,Y
'Major Damage',paintball,X6,46400,75400,'Multi-vehicle Collision',Fire,11600,17400,sales,Y
'Total Loss',hiking,A5,33600,46200,'Single Vehicle Collision',Ambulance,8400,4200,machine-op-inspct,N
'Major Damage',sleeping,Camry,46800,58500,'Single Vehicle Collision',Ambulance,5850,5850,machine-op-inspct,N
'Major Damage',bungie-jumping,Maxima,44160,66240,'Multi-vehicle Collision',Other,11040,11040,transport-moving,N
'Total Loss',camping,Wrangler,49080,65440,'Multi-vehicle Collision',Ambulance,8180,8180,craft-repair,N
'Minor Damage',exercise,F150,42800,64200,'Single Vehicle Collision',Fire,10700,10700,sales,N
'Minor Damage',dancing,RAM,24240,32320,'Multi-vehicle Collision',Ambulance,4040,4040,other-service,N
'Major Damage',golf,Neon,26040,33480,'Single Vehicle Collision',Police,3720,3720,farming-fishing,N
'Trivial Damage',polo,Corolla,2880,4320,'Vehicle Theft',None,960,480,adm-clerical,N
'Trivial Damage',exercise,Wrangler,2940,4200,'Vehicle Theft',Police,420,840,tech-support,N
'Minor Damage',sleeping,93,42160,57970,'Multi-vehicle Collision',Ambulance,5270,10540,adm-clerical,N
'Trivial Damage',paintball,93,3360,4320,'Parked Car',None,960,0,other-service,N
'Minor Damage',reading,Escape,48510,69300,'Multi-vehicle Collision',Fire,6930,13860,machine-op-inspct,N
'Minor Damage',camping,Neon,24360,32480,'Multi-vehicle Collision',Police,4060,4060,farming-fishing,N
'Total Loss',hiking,TL,47040,60480,'Single Vehicle Collision',Police,6720,6720,machine-op-inspct,N
'Trivial Damage',polo,CRV,1760,2640,'Parked Car',Police,440,440,armed-forces,N
'Trivial Damage',skydiving,Passat,4400,6050,'Parked Car',Police,1100,550,other-service,N
'Total Loss',chess,92x,34160,42700,'Multi-vehicle Collision',Ambulance,4270,4270,handlers-cleaners,Y
'Major Damage',reading,MDX,29280,40260,'Single Vehicle Collision',Ambulance,7320,3660,prof-specialty,Y
'Major Damage',polo,Silverado,35000,50000,'Single Vehicle Collision',Fire,10000,5000,priv-house-serv,N
'Trivial Damage',golf,92x,2880,3840,'Parked Car',None,320,640,tech-support,N
'Minor Damage',video-games,95,61650,95900,'Multi-vehicle Collision',Police,20550,13700,transport-moving,N
'Minor Damage',bungie-jumping,A5,37440,56160,'Multi-vehicle Collision',Ambulance,12480,6240,exec-managerial,N
'Major Damage',sleeping,92x,45840,63030,'Single Vehicle Collision',Police,11460,5730,armed-forces,N
'Minor Damage',skydiving,X6,46160,63470,'Single Vehicle Collision',Police,11540,5770,handlers-cleaners,N
'Major Damage',movies,X6,32320,44440,'Single Vehicle Collision',Police,4040,8080,tech-support,Y
'Minor Damage',paintball,'Grand Cherokee',4200,6600,'Parked Car',Police,1200,1200,prof-specialty,N
'Minor Damage',kayaking,Escape,57900,77200,'Multi-vehicle Collision',Ambulance,9650,9650,machine-op-inspct,N
'Total Loss',reading,A3,45600,57000,'Multi-vehicle Collision',Other,11400,0,protective-serv,N
'Trivial Damage',movies,Accord,2100,2700,'Vehicle Theft',Police,300,300,farming-fishing,N
'Total Loss',kayaking,Jetta,34400,47300,'Single Vehicle Collision',Police,8600,4300,transport-moving,N
'Major Damage',sleeping,Maxima,40080,55110,'Single Vehicle Collision',Other,10020,5010,tech-support,N
'Trivial Damage',reading,E400,3360,4320,'Vehicle Theft',Police,480,480,other-service,N
'Total Loss',video-games,95,51570,68760,'Multi-vehicle Collision',Police,5730,11460,transport-moving,Y
'Major Damage',paintball,M5,52080,74400,'Multi-vehicle Collision',Other,7440,14880,tech-support,Y
'Major Damage',base-jumping,E400,28240,35300,'Multi-vehicle Collision',Fire,3530,3530,exec-managerial,Y
'Minor Damage',camping,Passat,1680,2640,'Parked Car',None,480,480,tech-support,N
'Total Loss',cross-fit,ML350,46300,60190,'Multi-vehicle Collision',Ambulance,9260,4630,sales,Y
'Major Damage',exercise,Malibu,30240,41580,'Multi-vehicle Collision',Fire,7560,3780,machine-op-inspct,Y
'Minor Damage',cross-fit,MDX,46800,58500,'Single Vehicle Collision',Ambulance,0,11700,tech-support,Y
'Minor Damage',movies,Ultima,59490,79320,'Single Vehicle Collision',Fire,6610,13220,handlers-cleaners,N
'Minor Damage',chess,Escape,67590,82610,'Single Vehicle Collision',Ambulance,7510,7510,farming-fishing,Y
'Total Loss',video-games,RAM,45850,78600,'Multi-vehicle Collision',Ambulance,19650,13100,priv-house-serv,Y
'Minor Damage',chess,Jetta,39970,51390,'Single Vehicle Collision',Ambulance,5710,5710,handlers-cleaners,Y
'Major Damage',exercise,F150,56160,70200,'Single Vehicle Collision',Ambulance,7020,7020,other-service,Y
'Minor Damage',base-jumping,Wrangler,2940,4900,'Parked Car',None,1470,490,protective-serv,N
'Major Damage',chess,92x,49860,66480,'Multi-vehicle Collision',Other,11080,5540,protective-serv,Y
'Major Damage',reading,Tahoe,36640,50380,'Single Vehicle Collision',Fire,9160,4580,transport-moving,Y
'Major Damage',paintball,E400,44550,64350,'Single Vehicle Collision',Fire,9900,9900,handlers-cleaners,N
'Major Damage',hiking,Silverado,38780,55400,'Multi-vehicle Collision',Ambulance,11080,5540,prof-specialty,Y
'Total Loss',basketball,Neon,34930,49900,'Single Vehicle Collision',Other,9980,4990,prof-specialty,N
'Minor Damage',golf,TL,49920,74880,'Multi-vehicle Collision',Ambulance,12480,12480,priv-house-serv,N
'Minor Damage',exercise,A3,73260,105820,'Single Vehicle Collision',Other,16280,16280,exec-managerial,N
'Trivial Damage',golf,Jetta,5200,7150,'Vehicle Theft',Police,650,1300,prof-specialty,N
'Total Loss',dancing,RAM,33480,55800,'Single Vehicle Collision',Ambulance,11160,11160,craft-repair,N
'Trivial Damage',kayaking,RAM,3710,5830,'Parked Car',None,1060,1060,sales,N
'Major Damage',polo,Forrestor,51540,85900,'Single Vehicle Collision',Ambulance,17180,17180,handlers-cleaners,Y
'Minor Damage',base-jumping,MDX,4740,7110,'Parked Car',Police,1580,790,prof-specialty,N
'Total Loss',kayaking,Tahoe,26880,36960,'Multi-vehicle Collision',Fire,3360,6720,prof-specialty,N
'Minor Damage',movies,Neon,51520,64400,'Multi-vehicle Collision',Police,6440,6440,tech-support,N
'Minor Damage',sleeping,Tahoe,1440,1920,'Parked Car',None,0,480,adm-clerical,N
'Major Damage',polo,Legacy,62640,86130,'Single Vehicle Collision',Police,7830,15660,farming-fishing,Y
'Major Damage',cross-fit,Silverado,59760,82170,'Single Vehicle Collision',Fire,7470,14940,protective-serv,Y
'Major Damage',camping,Legacy,35210,50300,'Single Vehicle Collision',Fire,5030,10060,farming-fishing,Y
'Major Damage',camping,Forrestor,30940,44200,'Single Vehicle Collision',Police,8840,4420,prof-specialty,N
'Major Damage',polo,Highlander,54540,66660,'Single Vehicle Collision',Ambulance,6060,6060,transport-moving,N
'Total Loss',bungie-jumping,92x,56960,78320,'Single Vehicle Collision',Ambulance,14240,7120,prof-specialty,N
'Total Loss',skydiving,RAM,72720,105040,'Single Vehicle Collision',Fire,16160,16160,craft-repair,N
'Minor Damage',basketball,RSX,40560,50700,'Single Vehicle Collision',Fire,5070,5070,adm-clerical,N
'Total Loss',exercise,Wrangler,34140,51210,'Multi-vehicle Collision',Fire,5690,11380,exec-managerial,N
'Total Loss',dancing,Jetta,34560,51840,'Multi-vehicle Collision',Fire,8640,8640,other-service,N
'Total Loss',exercise,Pathfinder,42240,52800,'Multi-vehicle Collision',Ambulance,5280,5280,exec-managerial,N
'Minor Damage',kayaking,Civic,32200,55200,'Single Vehicle Collision',Fire,13800,9200,prof-specialty,N
'Minor Damage',camping,Malibu,6300,9100,'Vehicle Theft',None,1400,1400,sales,N
'Minor Damage',reading,Legacy,47320,67600,'Multi-vehicle Collision',Other,6760,13520,craft-repair,N
'Minor Damage',golf,X5,27200,40800,'Single Vehicle Collision',Other,6800,6800,adm-clerical,N
'Major Damage',board-games,Passat,58500,84500,'Multi-vehicle Collision',Other,13000,13000,machine-op-inspct,Y
'Major Damage',hiking,Highlander,52080,71610,'Multi-vehicle Collision',Other,6510,13020,exec-managerial,Y
'Major Damage',yachting,RAM,42420,60600,'Multi-vehicle Collision',Other,12120,6060,sales,Y
'Major Damage',reading,C300,54160,81240,'Multi-vehicle Collision',Fire,20310,6770,exec-managerial,Y
'Total Loss',bungie-jumping,A3,20510,29300,'Multi-vehicle Collision',Fire,5860,2930,armed-forces,N
'Total Loss',skydiving,RAM,55600,76450,'Multi-vehicle Collision',Fire,13900,6950,sales,N
'Major Damage',cross-fit,Wrangler,34580,49400,'Multi-vehicle Collision',Fire,4940,9880,machine-op-inspct,N
